star_id,driver,delta_n,absolute_contribution_percent
mesa_model_0001_profile_01,delta_n_rad,7.91700970245691e-06,3.477942362824516e-08
mesa_model_0001_profile_01,delta_n_mu,0.005444519109316484,2.3917772450907845e-05
mesa_model_0001_profile_01,delta_n_conv,22763.368486115247,99.99947777489248
mesa_model_0001_profile_01,delta_n_nuc,0.11199300147368631,0.000491985255549612
mesa_model_0001_profile_01,delta_n_deg,0.0014312087650487863,6.287300105826825e-06
mesa_model_0050_profile_02,delta_n_rad,8.026851436213864e-06,3.8955955762827136e-08
mesa_model_0050_profile_02,delta_n_mu,0.005566056713006983,2.7013214435118873e-05
mesa_model_0050_profile_02,delta_n_conv,20604.825442925394,99.99944247554033
mesa_model_0050_profile_02,delta_n_nuc,0.10787184807084374,0.0005235241956196379
mesa_model_0050_profile_02,delta_n_deg,0.0014316505495602652,6.948093647887829e-06
mesa_model_0100_profile_03,delta_n_rad,1.0607785449515407e-05,7.217579550808457e-08
mesa_model_0100_profile_03,delta_n_mu,0.003813892518739835,2.5949876893009284e-05
mesa_model_0100_profile_03,delta_n_conv,14697.059485543306,99.99937923397455
mesa_model_0100_profile_03,delta_n_nuc,0.08521512794161643,0.000579807131071862
mesa_model_0100_profile_03,delta_n_deg,0.0021952901378020162,1.4936841701879575e-05
mesa_model_0150_profile_04,delta_n_rad,3.353049089415946e-05,3.656058804423233e-06
mesa_model_0150_profile_04,delta_n_mu,0.0011959339123263398,0.00013040085585000035
mesa_model_0150_profile_04,delta_n_conv,917.0649990184239,99.99387048859789
mesa_model_0150_profile_04,delta_n_nuc,0.04732518337557086,0.005160188495222363
mesa_model_0150_profile_04,delta_n_deg,0.007660401608614582,0.0008352659922277381
mesa_model_0200_profile_05,delta_n_rad,0.0004630082605744445,0.0022029631734551036
mesa_model_0200_profile_05,delta_n_mu,0.0004840101827900463,0.002302888952652515
mesa_model_0200_profile_05,delta_n_conv,20.958780679291543,99.72051457509141
mesa_model_0200_profile_05,delta_n_nuc,0.03017782125038808,0.14358410968140112
mesa_model_0200_profile_05,delta_n_deg,0.027616069823984766,0.1313954631010769
mesa_model_0244_profile_06,delta_n_rad,0.009267747851049205,1.2447613419111
mesa_model_0244_profile_06,delta_n_mu,0.00010312067714357995,0.013850250840121007
mesa_model_0244_profile_06,delta_n_conv,0.46680921849144724,62.69765627688103
mesa_model_0244_profile_06,delta_n_nuc,0.20377192017297038,27.36882928570318
mesa_model_0244_profile_06,delta_n_deg,0.0645881338773474,8.674902844664572
mesa_model_0250_profile_07,delta_n_rad,0.009368378377324588,1.3553596677883972
mesa_model_0250_profile_07,delta_n_mu,0.00015397441244236024,0.022276075974995865
mesa_model_0250_profile_07,delta_n_conv,0.45420995242010087,65.71231705460845
mesa_model_0250_profile_07,delta_n_nuc,0.1627737434947885,23.54910935725611
mesa_model_0250_profile_07,delta_n_deg,0.06470371649452532,9.36093784437204
mesa_model_0295_profile_08,delta_n_rad,0.010773797387353309,1.7500952083268866
mesa_model_0295_profile_08,delta_n_mu,0.005860357092904096,0.9519561672298605
mesa_model_0295_profile_08,delta_n_conv,0.3162546214816258,51.372387818979895
mesa_model_0295_profile_08,delta_n_nuc,0.21853980012358656,35.49959622165875
mesa_model_0295_profile_08,delta_n_deg,0.06418349668017127,10.425964583804623
